Sample ID (TARA_barcode#, registered at ...)	Sample ID (BioSamples accession number (...)	Sample ID (ENA sample accession number (...)	Basis	Campaign	Station (TARA_station#, registered at ...)	Method/Device	Event	Date/Time	Latitude	Longitude	Env feature ([abbreviation], full name (EN...)	Depth, nominal (from which this sample was co...)	Depth top [m] (from which this sample was co...)	Depth bot [m] (from which this sample was co...)	Fraction lower [µm] (used on board to prepare samp...)	Fraction upper [µm] (used on board to prepare samp...)	Sample material (TARA_station#_environmental-f...)	Sample method (short label describing the ta...)	Sample label (TARA_event-datetime_station#_...)	Env feature (about the thickness of the la...)	Env feature (about the pelagic zone (e.g. ...)	Env feature (about the light environment (...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Env feature (about vertical stratification...)	Env feature (about connectivity with the b...)	Env feature (about other information provi...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Kd490 [1/m] (at the sampling location and ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	bbp470 [1/m] ((443 nm) at the sampling loca...)	acCDOM [1/m] ((443 nm) at the sampling loca...)	Kd(PAR) [1/m] (Kd(PAR)1 is calculated for a ...)	Kd(PAR) [1/m] (Kd(PAR)2 is calculated for a ...)	z(SD) [m] (Measured in situ)	z(eu) [m] (at the sampling location for ...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	UMLD [m] (based on sigma theta, calcula...)	UMLD [m] (based on temperature, calcula...)	D chl m [m] (calculated from in situ senso...)	Depth max Brunt Väisälä freq [m] (calculated from in situ senso...)	Depth max O2 [m] (calculated from in situ senso...)	Depth min O2 [m] (calculated from in situ senso...)	Depth nitracline [m] (calculated from in situ senso...)	Temp [°C] (at a depth of 10 m, below the...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of maximum chlor...)	Temp [°C] (at the depth of maximum Brunt...)	Temp [°C] (at the depth of maximum oxyge...)	Temp [°C] (at the depth of minimum oxyge...)	Temp [°C] (at the depth of the nitraclin...)	Sal (at a depth of 10 m, below the...)	Sal (at the base of the euphotic z...)	Sal (at the base of the euphotic z...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of maximum chlor...)	Sal (at the depth of maximum Brunt...)	Sal (at the depth of maximum oxyge...)	Sal (at the depth of minimum oxyge...)	Sal (at the depth of the nitraclin...)	Sigma-theta [kg/m**3] (at a depth of 10 m, below the...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of maximum chlor...)	Sigma-theta [kg/m**3] (at the depth of maximum Brunt...)	Sigma-theta [kg/m**3] (at the depth of maximum oxyge...)	Sigma-theta [kg/m**3] (at the depth of minimum oxyge...)	Sigma-theta [kg/m**3] (at the depth of the nitraclin...)	N**2 [1/s**2] (at a depth of 10 m, below the...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of maximum chlor...)	N**2 [1/s**2] (at the depth of maximum Brunt...)	N**2 [1/s**2] (at the depth of maximum oxyge...)	N**2 [1/s**2] (at the depth of minimum oxyge...)	N**2 [1/s**2] (at the depth of the nitraclin...)	Chl a [mg/m**3] (at a depth of 10 m, below the...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of maximum chlor...)	Chl a [mg/m**3] (at the depth of maximum Brunt...)	Chl a [mg/m**3] (at the depth of maximum oxyge...)	Chl a [mg/m**3] (at the depth of minimum oxyge...)	Chl a [mg/m**3] (at the depth of the nitraclin...)	OXYGEN [µmol/kg] (at a depth of 10 m, below the...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of maximum chlor...)	OXYGEN [µmol/kg] (at the depth of maximum Brunt...)	OXYGEN [µmol/kg] (at the depth of maximum oxyge...)	OXYGEN [µmol/kg] (at the depth of minimum oxyge...)	OXYGEN [µmol/kg] (at the depth of the nitraclin...)	[NO3]- [µmol/l] (at a depth of 10 m, below the...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of maximum chlor...)	[NO3]- [µmol/l] (at the depth of maximum Brunt...)	[NO3]- [µmol/l] (at the depth of maximum oxyge...)	[NO3]- [µmol/l] (at the depth of minimum oxyge...)	[NO3]- [µmol/l] (at the depth of the nitraclin...)
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100001094	SAMEA2623135	ERS493431	SV Tara	TARA_20110928Z	TARA_133	High Volume Peristaltic Pump	TARA_20111019T0009Z_133_EVENT_PUMP	2011-10-19T00:09	35.4002	-127.7499	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	45	43	47	0.22	3	TARA_133_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20111019T0009Z_133_EVENT_PUMP_DCM_(45m)_SEQ-(100L)_W0.22-3_B100001094	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	<50 m from a strong nutricline (ENVO:01000260), with a difference in nitrate concentrations of >10 micromoles per kilogramme between 10 m and the depth of the nutricline	<50 m from a strong peak in chlorophyll fluorescence	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <50 micromoles per kilogramme	presence of a strong nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of >10 micromoles per kilogramme between 10 m and the depth of the nutricline	presence of a strong peak in chlorophyll fluorescence at the sampling location		0.053168	0.047682	0.051338324323297	0.072385456413031	0.002104837447405	0.020706019364297	0.099818872	0.082797616		59.9701671600342		41	49	10	11	32	38	29	530	95	19.2187	14.2052	12.3788	19.2187	19.0196	16.7601	15.1117	17.5436	5.0775	9.4077	33.2717	33.4389	33.3311	33.2717	33.2711	33.419	33.4538	33.3099	34.36	33.7396	23.5316	24.8226	25.1047	23.5316	23.5816	24.2431	24.6407	23.9749	27.0365	25.9459	0.00033491	0.00021618	0.00021792	0.00033491	0.00063059	0.00054525	0.00032929	0.0010076		0.00018021	0.18188	0.67243	0.29306	0.18188	0.18188	0.63256	0.9082	0.51415	0	0	224.9705	230.5459	230.082	224.9705	227.3784	254.7775	235.7018	253.1541	19.9891	146.1382	0.14833	3.1861	6.3499	0.14833	-0.19972	-0.20642	-0.059152	-0.89286	42.9995	19.181
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100001105	SAMEA2623155	ERS493460	SV Tara	TARA_20110928Z	TARA_133	Rosette Vertical Sampling System	TARA_20111019T1827Z_133_Combined-EVENTS_CAST	2011-10-19T19:27	35.2698	-127.7268	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	650	646	655	0.22	3	TARA_133_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20111019T1827Z_133_Combined-EVENTS_CAST_MES_(650m)_SEQ-(100L)_W0.22-3_B100001105	discrete depth	between 400-800 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	near a marine oxygen minimum zone (ENVO:01000065), <10 m from a minimum dissolved oxygen concentration, with values <10 micromoles per kilogramme	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a strong peak in chlorophyll fluorescence at the sampling location		0.050756	0.05005	0.049032136797905	0.071560218930244	0.001897779060528	0.019910387694836	0.103271573	0.086067876		62.4698104858398		40	47	13	13	38	42	33	656	49	19.3461	14.5572	13.6254	19.3086	19.3086	15.4181	14.4247	17.9881	4.8482	13.3881	33.2823	33.3499	33.4307	33.2822	33.2822	33.3389	33.3728	33.3518	34.5165	33.4492	23.5072	24.6801	24.9358	23.5168	23.5168	24.4856	24.7257	23.8996	27.1872	24.998	2.505E-05	0.00051249	0.00041172	0.00028838	0.00028838	0.00067895	0.00043359	0.00064826	4.067E-06	0.00043687	0.11001	0.89208	0.70337	0.1299	0.1299	0.77339	0.89208	0.36754	0	0.64681	222.818	253.1327	227.8772	225.561	225.561	258.301	251.8503	254.5487	9.5881	224.0903	1.6387	1.4491	3.2016	1.083	1.083	0.18674	1.6093	1.3769	44.4123	3.904
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_N000002172	SAMEA2623246	ERS493592	SV Tara	TARA_20110928Z	TARA_135	Rosette Vertical Sampling System	TARA_20111024T1707Z_135_Combined-EVENTS_CAST	2011-10-24T01:01	33.0339	-121.8782	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	650	646	655	0.8	3	TARA_135_MES_0.8-3	SEQ-(100L-or-15min)_W0.8-3	TARA_20111024T1707Z_135_Combined-EVENTS_CAST_MES_(650m)_SEQ-(100L-or-15min)_W0.8-3_N000002172	discrete depth	between 400-800 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	none	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <50 micromoles per kilogramme	presence of a weak nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	presence of a strong peak in chlorophyll fluorescence at the sampling location	0.064729	0.066039	0.063183	0.06242766417563	0.088867202401161	0.001913310203236	0.038092508912087	0.120570724	0.102571221	19	50.3925609588623	64	34	41	10	11	20	6	14	746	48	16.104	14.323	13.0517	16.104	15.908	15.3351	16.6765	15.5089	4.771	12.5455	33.4719	33.4756	33.359	33.4719	33.4795	33.4598	33.4743	33.457	34.5367	33.5034	24.4332	24.8259	24.9954	24.4332	24.4834	24.5959	24.3038	24.5553	27.2126	25.2057	0.00050482	0.00028218	8.0228E-05	0.00050482	0.00037741	0.00012901	7.9105E-05	6.5442E-05	8.014E-06	0.0001502	0.20007	0.34709	0.33537	0.20007	0.20496	0.42523		0.34759	0	0.22713	238.84	225.7535	218.8541	238.84	240.6472	240.8357	233.4198	243.3663	10.0309	196.1066	-0.11937	0.60797	3.4275	-0.11937	-0.032332	-1.1152	-0.050828	-0.23752	43.4152	7.3596
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100001287	SAMEA2623275	ERS493636	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	TARA_20111202T1412Z_137_EVENT_PUMP	2011-12-02T14:12	14.2035	-116.6261	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_137_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20111202T1412Z_137_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001287	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a weak peak in chlorophyll fluorescence at the sampling location	0.0482	0.053417	0.051016	0.050950165838003	0.073302298784256	0.001631906547118	0.018005469813943	0.104643824	0.087369935	25	60.7155914306641	85	43	52	23	29	36	39	13	630	44	26.411	19.2192	16.8418	26.3811	26.2421	22.8226	21.7518	26.4129	6.3201	19.2192	34.0449	34.582	34.5772	34.0589	34.1165	34.465	34.5336	34.0453	34.7072	34.582	22.067	24.5282	25.1092	22.0877	22.1749	23.4618	23.8155	22.0669	27.1596	24.5282	3.84E-07	0.0009202	0.00035643	0.00018589	0.00061752	0.0013278	0.0013325		9.606E-06	0.0009202	0.29483	0.56911	0.43799	0.31035	0.38682	0.56107	0.57341	0.28505	0	0.56911	195.1292	97.8459	43.3759	194.776	188.7336	160.6741	141.2227	194.8822	0.84792	97.8459	3.4416	8.4411	19.9577	3.804	2.5561	2.9719	5.2233	3.2983	42.3869	8.4411
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000734	SAMEA2623290	ERS493651	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	TARA_20111202T1412Z_137_EVENT_PUMP	2011-12-02T14:12	14.2035	-116.6261	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_137_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T1412Z_137_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000734	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a weak peak in chlorophyll fluorescence at the sampling location	0.0482	0.053417	0.051016	0.050950165838003	0.073302298784256	0.001631906547118	0.018005469813943	0.104643824	0.087369935	25	60.7155914306641	85	43	52	23	29	36	39	13	630	44	26.411	19.2192	16.8418	26.3811	26.2421	22.8226	21.7518	26.4129	6.3201	19.2192	34.0449	34.582	34.5772	34.0589	34.1165	34.465	34.5336	34.0453	34.7072	34.582	22.067	24.5282	25.1092	22.0877	22.1749	23.4618	23.8155	22.0669	27.1596	24.5282	3.84E-07	0.0009202	0.00035643	0.00018589	0.00061752	0.0013278	0.0013325		9.606E-06	0.0009202	0.29483	0.56911	0.43799	0.31035	0.38682	0.56107	0.57341	0.28505	0	0.56911	195.1292	97.8459	43.3759	194.776	188.7336	160.6741	141.2227	194.8822	0.84792	97.8459	3.4416	8.4411	19.9577	3.804	2.5561	2.9719	5.2233	3.2983	42.3869	8.4411
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100001964	SAMEA2623295	ERS493670	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	TARA_20111202T2042Z_137_EVENT_PUMP	2011-12-02T20:42	14.2075	-116.6468	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	3	TARA_137_DCM_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20111202T2042Z_137_EVENT_PUMP_DCM_(40m)_SEQ-(10L-or-15min)_W0.22-3_B100001964	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	none	<50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	none	shallowest of two similar environmental features	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a weak peak in chlorophyll fluorescence at the sampling location	0.0482	0.053417	0.051016	0.051574481651187	0.073412735015154	0.001643001276534	0.018467664718628	0.104643824	0.087369935	25	59.8825378417969	85	43	52	20	28	34	39	16	206	39	26.416	18.8854	16.6687	26.3948	26.2302	22.8119	21.0073	26.4105	11.1354	21.0073	34.0265	34.5335	34.5875	34.0375	34.1305	34.4715	34.5725	34.0281	34.8636	34.5725	22.0516	24.5764	25.1576	22.0672	22.1891	23.4697	24.0487	22.0549	26.5247	24.0487	5.113E-06	0.00054724	0.00053452	0.00011398	0.00029495	0.0010799	0.001717	1.1881E-05		0.001717	0.24623	0.64819	0.46005	0.32119	0.41007	0.62296	0.65116	0.29509	0	0.65116	195.5363	106.4339	40.9065	195.2675	193.7337	164.7839	129.0979	195.0227	0.70874	129.0979	3.0774	10.0168	19.0111	3.1237	2.2948	3.8961	5.0237	3.2351	26.4144	5.0237
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000742	SAMEA2623309	ERS493684	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	TARA_20111202T2042Z_137_EVENT_PUMP	2011-12-02T20:42	14.2075	-116.6468	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	<0.22	0.22	TARA_137_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T2042Z_137_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100000742	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	none	<50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	none	shallowest of two similar environmental features	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a weak peak in chlorophyll fluorescence at the sampling location	0.0482	0.053417	0.051016	0.051574481651187	0.073412735015154	0.001643001276534	0.018467664718628	0.104643824	0.087369935	25	59.8825378417969	85	43	52	20	28	34	39	16	206	39	26.416	18.8854	16.6687	26.3948	26.2302	22.8119	21.0073	26.4105	11.1354	21.0073	34.0265	34.5335	34.5875	34.0375	34.1305	34.4715	34.5725	34.0281	34.8636	34.5725	22.0516	24.5764	25.1576	22.0672	22.1891	23.4697	24.0487	22.0549	26.5247	24.0487	5.113E-06	0.00054724	0.00053452	0.00011398	0.00029495	0.0010799	0.001717	1.1881E-05		0.001717	0.24623	0.64819	0.46005	0.32119	0.41007	0.62296	0.65116	0.29509	0	0.65116	195.5363	106.4339	40.9065	195.2675	193.7337	164.7839	129.0979	195.0227	0.70874	129.0979	3.0774	10.0168	19.0111	3.1237	2.2948	3.8961	5.0237	3.2351	26.4144	5.0237
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_N000002993	SAMEA2623321	ERS493712	SV Tara	TARA_20111124Z	TARA_137	Rosette Vertical Sampling System	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	2011-12-03T14:31	14.2025	-116.6433	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	375	370	379	0.8	3	TARA_137_MES_0.8-3	SEQ-(100L-or-15min)_W0.8-3	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MES_(375m)_SEQ-(100L-or-15min)_W0.8-3_N000002993	discrete depth	between 200-400 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	near a marine oxygen minimum zone (ENVO:01000065), <50 m from a minimum dissolved oxygen concentration, with values <10 micromoles per kilogramme	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a weak peak in chlorophyll fluorescence at the sampling location			0.051016	0.053699726238847	0.074441228061914	0.001512317510787	0.018371229991317	0.104643824	0.087369935	25	57.5109386444092	85	43	52	22	28	37	40	14	351	40	26.4703	18.6642	17.2553	26.4265	26.3068	23.1196	20.3374	26.4711	9.2079	20.3374	33.9772	34.5149	34.5599	33.9925	34.0471	34.4387	34.5546	33.9772	34.771	34.5546	21.9975	24.6181	24.998	22.0236	22.1025	23.3561	24.2155	21.9976	26.7857	24.2155	1.79E-07	0.00027978	0.00053484	4.3828E-05	0.00022979	0.0023149	0.001845	2.435E-06	1.6407E-05	0.001845	0.28338	0.59711	0.48717	0.29753	0.33524	0.56783	0.59711	0.28338	0	0.59711	195.4567	102.7119	51.6611	195.0561	191.3911	142.7617	117.5948	196.0464	0.95221	117.5948	3.4103	11.5583	18.941	4.5462	4.0975	5.0496	6.8149	3.0937	33.5015	6.8149
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100001971	SAMEA2623314	ERS493705	SV Tara	TARA_20111124Z	TARA_137	Rosette Vertical Sampling System	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	2011-12-03T14:31	14.2025	-116.6433	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	375	370	379	0.22	3	TARA_137_MES_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MES_(375m)_SEQ-(10L-or-15min)_W0.22-3_B100001971	discrete depth	between 200-400 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	near a marine oxygen minimum zone (ENVO:01000065), <50 m from a minimum dissolved oxygen concentration, with values <10 micromoles per kilogramme	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a weak peak in chlorophyll fluorescence at the sampling location			0.051016	0.053699726238847	0.074441228061914	0.001512317510787	0.018371229991317	0.104643824	0.087369935	25	57.5109386444092	85	43	52	22	28	37	40	14	351	40	26.4703	18.6642	17.2553	26.4265	26.3068	23.1196	20.3374	26.4711	9.2079	20.3374	33.9772	34.5149	34.5599	33.9925	34.0471	34.4387	34.5546	33.9772	34.771	34.5546	21.9975	24.6181	24.998	22.0236	22.1025	23.3561	24.2155	21.9976	26.7857	24.2155	1.79E-07	0.00027978	0.00053484	4.3828E-05	0.00022979	0.0023149	0.001845	2.435E-06	1.6407E-05	0.001845	0.28338	0.59711	0.48717	0.29753	0.33524	0.56783	0.59711	0.28338	0	0.59711	195.4567	102.7119	51.6611	195.0561	191.3911	142.7617	117.5948	196.0464	0.95221	117.5948	3.4103	11.5583	18.941	4.5462	4.0975	5.0496	6.8149	3.0937	33.5015	6.8149
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000750	SAMEA2623327	ERS493718	SV Tara	TARA_20111124Z	TARA_137	Rosette Vertical Sampling System	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	2011-12-03T14:31	14.2025	-116.6433	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	375	370	379	<0.22	0.22	TARA_137_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MES_(375m)_SEQ-(FeCl3)_W<0.22_R100000750	discrete depth	between 200-400 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	near a marine oxygen minimum zone (ENVO:01000065), <50 m from a minimum dissolved oxygen concentration, with values <10 micromoles per kilogramme	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	none	presence of a weak peak in chlorophyll fluorescence at the sampling location			0.051016	0.053699726238847	0.074441228061914	0.001512317510787	0.018371229991317	0.104643824	0.087369935	25	57.5109386444092	85	43	52	22	28	37	40	14	351	40	26.4703	18.6642	17.2553	26.4265	26.3068	23.1196	20.3374	26.4711	9.2079	20.3374	33.9772	34.5149	34.5599	33.9925	34.0471	34.4387	34.5546	33.9772	34.771	34.5546	21.9975	24.6181	24.998	22.0236	22.1025	23.3561	24.2155	21.9976	26.7857	24.2155	1.79E-07	0.00027978	0.00053484	4.3828E-05	0.00022979	0.0023149	0.001845	2.435E-06	1.6407E-05	0.001845	0.28338	0.59711	0.48717	0.29753	0.33524	0.56783	0.59711	0.28338	0	0.59711	195.4567	102.7119	51.6611	195.0561	191.3911	142.7617	117.5948	196.0464	0.95221	117.5948	3.4103	11.5583	18.941	4.5462	4.0975	5.0496	6.8149	3.0937	33.5015	6.8149
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100001989	SAMEA2623350	ERS493752	SV Tara	TARA_20111124Z	TARA_138	High Volume Peristaltic Pump	TARA_20111210T1408Z_138_EVENT_PUMP	2011-12-10T14:08	6.3332	-102.9432	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_138_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20111210T1408Z_138_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001989	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	presence of a strong nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of >10 micromoles per kilogramme between 10 m and the depth of the nutricline	none										19		66			37	45	55	57	13	483	64	26.6849			26.7325	26.5174	22.6934	22.2102	26.6999	7.9255	19.6509	33.6591			33.7088	34.4831	34.6646	34.6833	33.6743	34.7714	34.7918	21.6916			21.7157	22.3645	23.6504	23.8017	21.6984	26.9859	24.576	3.6255E-05			5.2046E-05	0.00071271	0.0018289	0.00059619	2.4366E-05	2.7016E-05	0.0019299	0			0.023193	0.27443	0.34875	0.35431	0	0.02114	0.35577	197.0462			196.9447	189.0856	134.4998	126.878	196.7693	0.95578	61.8765	0.35341			-0.88981	-1.1006	3.0896	5.782	-0.49191	33.2343	13.2024
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000773	SAMEA2623365	ERS493767	SV Tara	TARA_20111124Z	TARA_138	High Volume Peristaltic Pump	TARA_20111210T1408Z_138_EVENT_PUMP	2011-12-10T14:08	6.3332	-102.9432	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_138_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111210T1408Z_138_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000773	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <10 micromoles per kilogramme	presence of a strong nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of >10 micromoles per kilogramme between 10 m and the depth of the nutricline	none										19		66			37	45	55	57	13	483	64	26.6849			26.7325	26.5174	22.6934	22.2102	26.6999	7.9255	19.6509	33.6591			33.7088	34.4831	34.6646	34.6833	33.6743	34.7714	34.7918	21.6916			21.7157	22.3645	23.6504	23.8017	21.6984	26.9859	24.576	3.6255E-05			5.2046E-05	0.00071271	0.0018289	0.00059619	2.4366E-05	2.7016E-05	0.0019299	0			0.023193	0.27443	0.34875	0.35431	0	0.02114	0.35577	197.0462			196.9447	189.0856	134.4998	126.878	196.7693	0.95578	61.8765	0.35341			-0.88981	-1.1006	3.0896	5.782	-0.49191	33.2343	13.2024
