Sample name	Cruise series	GEOTRACES section	Cruise ID	Cruise Station	Collection Date	Depth (m)	env_biome	env_feature	env_material	geo_loc_name	Latitude and Longitude	Bottle ID	NCBI BioProject	NCBI SRA Study	NCBI BioSample	NCBI SRA Accession	Total read pairs	NCBI SRA Accession for assembled metagenome contigs	Assembly method and version
S0108	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	113.8	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845654	PRJNA385854	SRP110813	SAMN07136586	SRR5788086	20474076	SRZ187309	metaSPAdes v3.9.0
S0109	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	133.7	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845657	PRJNA385854	SRP110813	SAMN07136587	SRR5788083	20616566	SRZ187310	metaSPAdes v3.9.0
S0110	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	183.8	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845660	PRJNA385854	SRP110813	SAMN07136588	SRR5788084	25598730	SRZ187311	metaSPAdes v3.9.0
S0111	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	233.6	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845663	PRJNA385854	SRP110813	SAMN07136589	SRR5788081	26758042	SRZ187312	metaSPAdes v3.9.0
S0112	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	285	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845666	PRJNA385854	SRP110813	SAMN07136590	SRR5788082	29851182	SRZ187313	metaSPAdes v3.9.0
S0114	GEOTRACES	GA03	KN204	1	2011-11-08T10:56:00	30.2	ocean_biome	ocean	water	Atlantic Ocean	39.69225 N 69.86286 W	845123	PRJNA385854	SRP110813	SAMN07136591	SRR5788089	28961579	SRZ187314	metaSPAdes v3.9.0
S0115	GEOTRACES	GA03	KN204	1	2011-11-08T10:56:00	57.8	ocean_biome	ocean	water	Atlantic Ocean	39.69225 N 69.86286 W	845126	PRJNA385854	SRP110813	SAMN07136592	SRR5788090	27615447	SRZ187315	metaSPAdes v3.9.0
S0116	GEOTRACES	GA03	KN204	1	2011-11-08T10:56:00	89.2	ocean_biome	ocean	water	Atlantic Ocean	39.69225 N 69.86286 W	845834	PRJNA385854	SRP110813	SAMN07136593	SRR5788221	15631705	SRZ187316	metaSPAdes v3.9.0
S0117	GEOTRACES	GA03	KN204	1	2011-11-08T10:56:00	109.9	ocean_biome	ocean	water	Atlantic Ocean	39.69225 N 69.86286 W	845129	PRJNA385854	SRP110813	SAMN07136594	SRR5788220	49471178	SRZ187317	metaSPAdes v3.9.0
S0118	GEOTRACES	GA03	KN204	1	2011-11-08T10:56:00	135.4	ocean_biome	ocean	water	Atlantic Ocean	39.69225 N 69.86286 W	845132	PRJNA385854	SRP110813	SAMN07136595	SRR5788223	26010726	SRZ187318	metaSPAdes v3.9.0
S0119	GEOTRACES	GA03	KN204	1	2011-11-08T10:56:00	185.8	ocean_biome	ocean	water	Atlantic Ocean	39.69225 N 69.86286 W	845135	PRJNA385854	SRP110813	SAMN07136596	SRR5788222	23609025	SRZ187319	metaSPAdes v3.9.0
S0120	GEOTRACES	GA03	KN204	1	2011-11-08T10:56:00	285.9	ocean_biome	ocean	water	Atlantic Ocean	39.69225 N 69.86286 W	845141	PRJNA385854	SRP110813	SAMN07136597	SRR5788217	35587520	SRZ187320	metaSPAdes v3.9.0
S0122	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	39.4	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844343	PRJNA385854	SRP110813	SAMN07136598	SRR5788216	35734267	SRZ187321	metaSPAdes v3.9.0
S0123	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	65.6	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844346	PRJNA385854	SRP110813	SAMN07136599	SRR5788219	25283409	SRZ187322	metaSPAdes v3.9.0
S0124	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	90.8	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844349	PRJNA385854	SRP110813	SAMN07136600	SRR5788218	22509006	SRZ187323	metaSPAdes v3.9.0
S0125	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	111.1	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844352	PRJNA385854	SRP110813	SAMN07136601	SRR5788227	20589622	SRZ187324	metaSPAdes v3.9.0
S0126	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	135.2	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844355	PRJNA385854	SRP110813	SAMN07136602	SRR5788226	18701879	SRZ187325	metaSPAdes v3.9.0
S0127	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	184.1	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844358	PRJNA385854	SRP110813	SAMN07136603	SRR5788320	18140701	SRZ187326	metaSPAdes v3.9.0
S0128	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	236.7	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844361	PRJNA385854	SRP110813	SAMN07136604	SRR5788321	16948875	SRZ187327	metaSPAdes v3.9.0
S0129	GEOTRACES	GA03	KN204	4	2011-11-12T14:57:00	285.3	ocean_biome	ocean	water	Atlantic Ocean	38.32433 N 68.87553 W	844364	PRJNA385854	SRP110813	SAMN07136605	SRR5788322	19695567	SRZ187328	metaSPAdes v3.9.0
S0130	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	39.6	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844529	PRJNA385854	SRP110813	SAMN07136606	SRR5788323	22871300	SRZ187329	metaSPAdes v3.9.0
S0131	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	64.6	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844532	PRJNA385854	SRP110813	SAMN07136607	SRR5788316	20644218	SRZ187330	metaSPAdes v3.9.0
S0132	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	89.6	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844535	PRJNA385854	SRP110813	SAMN07136608	SRR5788317	22698692	SRZ187331	metaSPAdes v3.9.0
S0133	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	111.1	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844538	PRJNA385854	SRP110813	SAMN07136609	SRR5788318	22766638	SRZ187332	metaSPAdes v3.9.0
S0134	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	139.6	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844541	PRJNA385854	SRP110813	SAMN07136610	SRR5788319	18948044	SRZ187333	metaSPAdes v3.9.0
S0135	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	160	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844544	PRJNA385854	SRP110813	SAMN07136611	SRR5788314	19618651	SRZ187334	metaSPAdes v3.9.0
S0136	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	232.9	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844547	PRJNA385854	SRP110813	SAMN07136612	SRR5788315	23279778	SRZ187335	metaSPAdes v3.9.0
S0137	GEOTRACES	GA03	KN204	6	2011-11-15T06:20:00	284.7	ocean_biome	ocean	water	Atlantic Ocean	37.60731 N 68.3895 W	844550	PRJNA385854	SRP110813	SAMN07136613	SRR5788452	25544472	SRZ187336	metaSPAdes v3.9.0
S0138	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	50	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846488	PRJNA385854	SRP110813	SAMN07136614	SRR5788451	26189052	SRZ187337	metaSPAdes v3.9.0
S0139	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	74.5	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846491	PRJNA385854	SRP110813	SAMN07136615	SRR5788450	25116828	SRZ187338	metaSPAdes v3.9.0
S0140	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	84	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846494	PRJNA385854	SRP110813	SAMN07136616	SRR5788449	23605125	SRZ187339	metaSPAdes v3.9.0
S0141	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	123.8	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846497	PRJNA385854	SRP110813	SAMN07136617	SRR5788456	17687887	SRZ187340	metaSPAdes v3.9.0
S0142	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	183.9	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846500	PRJNA385854	SRP110813	SAMN07136618	SRR5788455	27277045	SRZ187341	metaSPAdes v3.9.0
S0143	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	233.1	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846503	PRJNA385854	SRP110813	SAMN07136619	SRR5788454	25965736	SRZ187342	metaSPAdes v3.9.0
S0144	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	283.3	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846506	PRJNA385854	SRP110813	SAMN07136620	SRR5788453	29159150	SRZ187343	metaSPAdes v3.9.0
S0145	GEOTRACES	GA03	KN204	22	2011-12-07T11:25:00	389.4	ocean_biome	ocean	water	Atlantic Ocean	19.43336 N 29.38323 W	846509	PRJNA385854	SRP110813	SAMN07136621	SRR5788448	19481861	SRZ187344	metaSPAdes v3.9.0
S0147	GEOTRACES	GA02	PE321	25	2010-06-17T19:56:00	11	ocean_biome	ocean	water	Atlantic Ocean	24.7143 N 67.0726 W	633245	PRJNA385854	SRP110813	SAMN07136622	SRR5788447	26848483	SRZ187345	metaSPAdes v3.9.0
S0148	GEOTRACES	GA02	PE321	25	2010-06-17T19:56:00	77	ocean_biome	ocean	water	Atlantic Ocean	24.7143 N 67.0726 W	633236	PRJNA385854	SRP110813	SAMN07136623	SRR5788112	31001923	SRZ187346	metaSPAdes v3.9.0
S0149	GEOTRACES	GA02	PE321	25	2010-06-17T19:56:00	119	ocean_biome	ocean	water	Atlantic Ocean	24.7143 N 67.0726 W	633233	PRJNA385854	SRP110813	SAMN07136624	SRR5788113	22977267	SRZ187347	metaSPAdes v3.9.0
S0150	GEOTRACES	GA02	PE321	25	2010-06-17T19:56:00	152	ocean_biome	ocean	water	Atlantic Ocean	24.7143 N 67.0726 W	633230	PRJNA385854	SRP110813	SAMN07136625	SRR5788110	34290195	SRZ187348	metaSPAdes v3.9.0
S0151	GEOTRACES	GA02	PE321	25	2010-06-17T19:56:00	202	ocean_biome	ocean	water	Atlantic Ocean	24.7143 N 67.0726 W	633227	PRJNA385854	SRP110813	SAMN07136626	SRR5788111	27910895	SRZ187349	metaSPAdes v3.9.0
S0152	GEOTRACES	GA02	PE321	27	2010-06-19T21:44:00	12	ocean_biome	ocean	water	Atlantic Ocean	22.3411 N 63.5833 W	633533	PRJNA385854	SRP110813	SAMN07136627	SRR5788116	26336708	SRZ187350	metaSPAdes v3.10.1
S0153	GEOTRACES	GA02	PE321	27	2010-06-19T21:44:00	75	ocean_biome	ocean	water	Atlantic Ocean	22.3411 N 63.5833 W	633524	PRJNA385854	SRP110813	SAMN07136628	SRR5788117	24569068	SRZ187351	metaSPAdes v3.9.0
S0154	GEOTRACES	GA02	PE321	27	2010-06-19T21:44:00	100	ocean_biome	ocean	water	Atlantic Ocean	22.3411 N 63.5833 W	633521	PRJNA385854	SRP110813	SAMN07136629	SRR5788114	38849924	SRZ187352	metaSPAdes v3.9.0
S0155	GEOTRACES	GA02	PE321	27	2010-06-19T21:44:00	127	ocean_biome	ocean	water	Atlantic Ocean	22.3411 N 63.5833 W	633518	PRJNA385854	SRP110813	SAMN07136630	SRR5788115	36820676	SRZ187353	metaSPAdes v3.9.0
S0156	GEOTRACES	GA02	PE321	27	2010-06-19T21:44:00	200	ocean_biome	ocean	water	Atlantic Ocean	22.3411 N 63.5833 W	633515	PRJNA385854	SRP110813	SAMN07136631	SRR5788108	36687766	SRZ187354	metaSPAdes v3.9.0
S0157	GEOTRACES	GA02	PE319	11	2010-05-11T13:26:00	9	ocean_biome	ocean	water	Atlantic Ocean	47.8007 N 39.399 W	631541	PRJNA385854	SRP110813	SAMN07136632	SRR5788109	31062384	SRZ187355	metaSPAdes v3.9.0
S0158	GEOTRACES	GA02	PE319	11	2010-05-11T13:26:00	50	ocean_biome	ocean	water	Atlantic Ocean	47.8007 N 39.399 W	631535	PRJNA385854	SRP110813	SAMN07136633	SRR5788284	17736592	SRZ187356	metaSPAdes v3.9.0
S0159	GEOTRACES	GA02	PE319	11	2010-05-11T13:26:00	75	ocean_biome	ocean	water	Atlantic Ocean	47.8007 N 39.399 W	631532	PRJNA385854	SRP110813	SAMN07136634	SRR5788283	142905804	SRZ187357	metaSPAdes v3.9.0
S0160	GEOTRACES	GA02	PE319	11	2010-05-11T13:26:00	101	ocean_biome	ocean	water	Atlantic Ocean	47.8007 N 39.399 W	631529	PRJNA385854	SRP110813	SAMN07136635	SRR5788286	39217331	SRZ187358	metaSPAdes v3.9.0
S0161	GEOTRACES	GA02	PE319	11	2010-05-11T13:26:00	152	ocean_biome	ocean	water	Atlantic Ocean	47.8007 N 39.399 W	631526	PRJNA385854	SRP110813	SAMN07136636	SRR5788285	20179411	SRZ187359	metaSPAdes v3.9.0
S0162	GEOTRACES	GA02	PE319	11	2010-05-11T13:26:00	201	ocean_biome	ocean	water	Atlantic Ocean	47.8007 N 39.399 W	631523	PRJNA385854	SRP110813	SAMN07136637	SRR5788288	37928461	SRZ187360	metaSPAdes v3.9.0
S0163	GEOTRACES	GA02	PE321	21	2010-06-13T00:53:00	10	ocean_biome	ocean	water	Atlantic Ocean	31.6667 N 64.167 W	633860	PRJNA385854	SRP110813	SAMN07136638	SRR5788287	38006969	SRZ187361	metaSPAdes v3.9.0
S0164	GEOTRACES	GA02	PE321	21	2010-06-13T00:53:00	75	ocean_biome	ocean	water	Atlantic Ocean	31.6667 N 64.167 W	633851	PRJNA385854	SRP110813	SAMN07136639	SRR5788290	32677279	SRZ187362	metaSPAdes v3.9.0
S0165	GEOTRACES	GA02	PE321	21	2010-06-13T00:53:00	100	ocean_biome	ocean	water	Atlantic Ocean	31.6667 N 64.167 W	633848	PRJNA385854	SRP110813	SAMN07136640	SRR5788289	31425941	SRZ187363	metaSPAdes v3.9.0
S0166	GEOTRACES	GA02	PE321	21	2010-06-13T00:53:00	150	ocean_biome	ocean	water	Atlantic Ocean	31.6667 N 64.167 W	633845	PRJNA385854	SRP110813	SAMN07136641	SRR5788282	24904082	SRZ187364	metaSPAdes v3.9.0
S0167	GEOTRACES	GA02	PE321	21	2010-06-13T00:53:00	202	ocean_biome	ocean	water	Atlantic Ocean	31.6667 N 64.167 W	633842	PRJNA385854	SRP110813	SAMN07136642	SRR5788281	18740939	SRZ187365	metaSPAdes v3.9.0
S0168	GEOTRACES	GA02	PE321	23	2010-06-16T00:22:00	8	ocean_biome	ocean	water	Atlantic Ocean	28.0905 N 67.5015 W	634370	PRJNA385854	SRP110813	SAMN07136643	SRR5788375	37873615	SRZ187366	metaSPAdes v3.9.0
S0169	GEOTRACES	GA02	PE321	23	2010-06-16T00:22:00	76	ocean_biome	ocean	water	Atlantic Ocean	28.0905 N 67.5015 W	634361	PRJNA385854	SRP110813	SAMN07136644	SRR5788376	19720275	SRZ187367	metaSPAdes v3.9.0
S0170	GEOTRACES	GA02	PE321	23	2010-06-16T00:22:00	87	ocean_biome	ocean	water	Atlantic Ocean	28.0905 N 67.5015 W	634358	PRJNA385854	SRP110813	SAMN07136645	SRR5788377	15076646	SRZ187368	metaSPAdes v3.9.0
S0171	GEOTRACES	GA02	PE321	23	2010-06-16T00:22:00	150	ocean_biome	ocean	water	Atlantic Ocean	28.0905 N 67.5015 W	634355	PRJNA385854	SRP110813	SAMN07136646	SRR5788378	21835852	SRZ187369	metaSPAdes v3.9.0
S0172	GEOTRACES	GA02	PE321	23	2010-06-16T00:22:00	200	ocean_biome	ocean	water	Atlantic Ocean	28.0905 N 67.5015 W	634352	PRJNA385854	SRP110813	SAMN07136647	SRR5788379	23183011	SRZ187370	metaSPAdes v3.9.0
S0177	GEOTRACES	GA02	JC057	8	2011-03-13T13:43:00	49	ocean_biome	ocean	water	Atlantic Ocean	35.0093 S 39.431 W	637412	PRJNA385854	SRP110813	SAMN07136648	SRR5788380	48743675	SRZ187371	metaSPAdes v3.9.0
S0178	GEOTRACES	GA02	JC057	8	2011-03-13T13:43:00	151	ocean_biome	ocean	water	Atlantic Ocean	35.0093 S 39.431 W	637403	PRJNA385854	SRP110813	SAMN07136649	SRR5788381	27087463	SRZ187372	metaSPAdes v3.9.0
S0179	GEOTRACES	GA02	JC057	9	2011-03-14T18:45:00	10	ocean_biome	ocean	water	Atlantic Ocean	32.092 S 37.4563 W	639548	PRJNA385854	SRP110813	SAMN07136650	SRR5788382	27291600	SRZ187373	metaSPAdes v3.9.0
S0180	GEOTRACES	GA02	JC057	9	2011-03-14T18:45:00	149	ocean_biome	ocean	water	Atlantic Ocean	32.092 S 37.4563 W	639533	PRJNA385854	SRP110813	SAMN07136651	SRR5788383	32512613	SRZ187374	metaSPAdes v3.9.0
S0181	GEOTRACES	GA02	JC057	10	2011-03-15T23:40:00	11	ocean_biome	ocean	water	Atlantic Ocean	29.0538 S 35.8078 W	639692	PRJNA385854	SRP110813	SAMN07136652	SRR5788384	27483914	SRZ187375	metaSPAdes v3.9.0
S0182	GEOTRACES	GA02	JC057	10	2011-03-15T23:40:00	50	ocean_biome	ocean	water	Atlantic Ocean	29.0538 S 35.8078 W	639686	PRJNA385854	SRP110813	SAMN07136653	SRR5788024	24654021	SRZ187376	metaSPAdes v3.9.0
S0183	GEOTRACES	GA02	JC057	10	2011-03-15T23:40:00	150	ocean_biome	ocean	water	Atlantic Ocean	29.0538 S 35.8078 W	639677	PRJNA385854	SRP110813	SAMN07136654	SRR5788023	21896245	SRZ187377	metaSPAdes v3.9.0
S0184	GEOTRACES	GA02	JC057	11	2011-03-17T00:34:00	10	ocean_biome	ocean	water	Atlantic Ocean	26.0867 S 34.2585 W	639764	PRJNA385854	SRP110813	SAMN07136655	SRR5788022	26689064	SRZ187378	metaSPAdes v3.9.0
S0185	GEOTRACES	GA02	JC057	11	2011-03-17T00:34:00	50	ocean_biome	ocean	water	Atlantic Ocean	26.0867 S 34.2585 W	639758	PRJNA385854	SRP110813	SAMN07136656	SRR5788021	26859299	SRZ187379	metaSPAdes v3.9.0
S0186	GEOTRACES	GA02	JC057	11	2011-03-17T00:34:00	151	ocean_biome	ocean	water	Atlantic Ocean	26.0867 S 34.2585 W	639749	PRJNA385854	SRP110813	SAMN07136657	SRR5788020	31208500	SRZ187380	metaSPAdes v3.9.0
S0187	GEOTRACES	GA02	JC057	12	2011-03-18T14:16:00	9	ocean_biome	ocean	water	Atlantic Ocean	22.4732 S 32.7487 W	638351	PRJNA385854	SRP110813	SAMN07136658	SRR5788019	41426131	SRZ187381	metaSPAdes v3.9.0
S0188	GEOTRACES	GA02	JC057	12	2011-03-18T14:16:00	49	ocean_biome	ocean	water	Atlantic Ocean	22.4732 S 32.7487 W	638345	PRJNA385854	SRP110813	SAMN07136659	SRR5788018	39189883	SRZ187382	metaSPAdes v3.9.0
S0189	GEOTRACES	GA02	JC057	12	2011-03-18T14:16:00	150	ocean_biome	ocean	water	Atlantic Ocean	22.4732 S 32.7487 W	638336	PRJNA385854	SRP110813	SAMN07136660	SRR5788017	29302170	SRZ187383	metaSPAdes v3.9.0
S0190	GEOTRACES	GA02	JC057	13	2011-03-20T14:54:00	49	ocean_biome	ocean	water	Atlantic Ocean	17.0173 S 30.6052 W	638561	PRJNA385854	SRP110813	SAMN07136661	SRR5788016	27855556	SRZ187384	metaSPAdes v3.9.0
S0191	GEOTRACES	GA02	JC057	14	2011-03-22T01:00:00	10	ocean_biome	ocean	water	Atlantic Ocean	12.8957 S 29.2335 W	638711	PRJNA385854	SRP110813	SAMN07136662	SRR5788015	23901114	SRZ187385	metaSPAdes v3.9.0
S0192	GEOTRACES	GA02	JC057	14	2011-03-22T01:00:00	49	ocean_biome	ocean	water	Atlantic Ocean	12.8957 S 29.2335 W	638705	PRJNA385854	SRP110813	SAMN07136663	SRR5788188	29059113	SRZ187386	metaSPAdes v3.9.0
S0193	GEOTRACES	GA02	JC057	14	2011-03-22T01:00:00	149	ocean_biome	ocean	water	Atlantic Ocean	12.8957 S 29.2335 W	638696	PRJNA385854	SRP110813	SAMN07136664	SRR5788189	23175848	SRZ187387	metaSPAdes v3.9.0
S0195	GEOTRACES	GA02	JC057	13	2011-03-20T14:54:00	143	ocean_biome	ocean	water	Atlantic Ocean	17.0173 S 30.6052 W	638552	PRJNA385854	SRP110813	SAMN07136665	SRR5788186	19642047	SRZ187388	metaSPAdes v3.9.0
S0196	GEOTRACES	GA02	JC057	15	2011-03-23T11:11:00	10	ocean_biome	ocean	water	Atlantic Ocean	9.1608 S 28.0012 W	638855	PRJNA385854	SRP110813	SAMN07136666	SRR5788187	19005470	SRZ187389	metaSPAdes v3.9.0
S0197	GEOTRACES	GA02	JC057	15	2011-03-23T11:11:00	50	ocean_biome	ocean	water	Atlantic Ocean	9.1608 S 28.0012 W	638849	PRJNA385854	SRP110813	SAMN07136667	SRR5788184	21337418	SRZ187390	metaSPAdes v3.9.0
S0198	GEOTRACES	GA02	JC057	15	2011-03-23T11:11:00	135	ocean_biome	ocean	water	Atlantic Ocean	9.1608 S 28.0012 W	638840	PRJNA385854	SRP110813	SAMN07136668	SRR5788185	22755372	SRZ187391	metaSPAdes v3.9.0
S0199	GEOTRACES	GA02	JC057	16	2011-03-24T12:54:00	10	ocean_biome	ocean	water	Atlantic Ocean	5.6667 S 28.4572 W	638927	PRJNA385854	SRP110813	SAMN07136669	SRR5788182	27931995	SRZ187392	metaSPAdes v3.9.0
S0200	GEOTRACES	GA02	JC057	16	2011-03-24T12:54:00	50	ocean_biome	ocean	water	Atlantic Ocean	5.6667 S 28.4572 W	638921	PRJNA385854	SRP110813	SAMN07136670	SRR5788183	30978820	SRZ187393	metaSPAdes v3.9.0
S0201	GEOTRACES	GA02	JC057	16	2011-03-24T12:54:00	149	ocean_biome	ocean	water	Atlantic Ocean	5.6667 S 28.4572 W	638912	PRJNA385854	SRP110813	SAMN07136671	SRR5788180	17222947	SRZ187394	metaSPAdes v3.9.0
S0202	GEOTRACES	GA02	JC057	17	2011-03-25T21:08:00	10	ocean_biome	ocean	water	Atlantic Ocean	2.6505 S 28.9172 W	639206	PRJNA385854	SRP110813	SAMN07136672	SRR5788181	19471955	SRZ187395	metaSPAdes v3.9.0
S0203	GEOTRACES	GA02	JC057	17	2011-03-25T21:08:00	65	ocean_biome	ocean	water	Atlantic Ocean	2.6505 S 28.9172 W	639200	PRJNA385854	SRP110813	SAMN07136673	SRR5788352	22439138	SRZ187396	metaSPAdes v3.9.0
S0204	GEOTRACES	GA02	JC057	17	2011-03-25T21:08:00	149	ocean_biome	ocean	water	Atlantic Ocean	2.6505 S 28.9172 W	639191	PRJNA385854	SRP110813	SAMN07136674	SRR5788351	25137503	SRZ187397	metaSPAdes v3.9.0
S0205	GEOTRACES	GA02	JC057	18	2011-03-27T13:11:00	9	ocean_biome	ocean	water	Atlantic Ocean	0.1915 S 32.8745 W	639422	PRJNA385854	SRP110813	SAMN07136675	SRR5788354	17786685	SRZ187398	metaSPAdes v3.9.0
S0206	GEOTRACES	GA02	JC057	18	2011-03-27T13:11:00	61	ocean_biome	ocean	water	Atlantic Ocean	0.1915 S 32.8745 W	639416	PRJNA385854	SRP110813	SAMN07136676	SRR5788353	23722341	SRZ187399	metaSPAdes v3.9.0
S0207	GEOTRACES	GA02	JC057	18	2011-03-27T13:11:00	150	ocean_biome	ocean	water	Atlantic Ocean	0.1915 S 32.8745 W	639407	PRJNA385854	SRP110813	SAMN07136677	SRR5788348	21383021	SRZ187400	metaSPAdes v3.9.0
S0209	GEOTRACES	GA02	JC057	1	2011-03-05T20:56:00	10	ocean_biome	ocean	water	Atlantic Ocean	49.5475 S 52.6885 W	637580	PRJNA385854	SRP110813	SAMN07136678	SRR5788347	19573073	SRZ187401	metaSPAdes v3.9.0
S0210	GEOTRACES	GA02	JC057	1	2011-03-05T20:56:00	49	ocean_biome	ocean	water	Atlantic Ocean	49.5475 S 52.6885 W	637574	PRJNA385854	SRP110813	SAMN07136679	SRR5788350	30987812	SRZ187402	metaSPAdes v3.9.0
S0211	GEOTRACES	GA02	JC057	2	2011-03-06T19:40:00	11	ocean_biome	ocean	water	Atlantic Ocean	48.9358 S 48.7933 W	637724	PRJNA385854	SRP110813	SAMN07136680	SRR5788349	25669096	SRZ187403	metaSPAdes v3.9.0
S0212	GEOTRACES	GA02	JC057	2	2011-03-06T19:40:00	51	ocean_biome	ocean	water	Atlantic Ocean	48.9358 S 48.7933 W	637718	PRJNA385854	SRP110813	SAMN07136681	SRR5788346	28654274	SRZ187404	metaSPAdes v3.9.0
S0213	GEOTRACES	GA02	JC057	2	2011-03-06T19:40:00	150	ocean_biome	ocean	water	Atlantic Ocean	48.9358 S 48.7933 W	637709	PRJNA385854	SRP110813	SAMN07136682	SRR5788345	21335937	SRZ187405	metaSPAdes v3.9.0
S0214	GEOTRACES	GA02	JC057	3	2011-03-08T03:21:00	10	ocean_biome	ocean	water	Atlantic Ocean	46.907 S 47.179 W	638012	PRJNA385854	SRP110813	SAMN07136683	SRR5788104	24326587	SRZ187406	metaSPAdes v3.9.0
S0215	GEOTRACES	GA02	JC057	3	2011-03-08T03:21:00	51	ocean_biome	ocean	water	Atlantic Ocean	46.907 S 47.179 W	638006	PRJNA385854	SRP110813	SAMN07136684	SRR5788103	22973602	SRZ187407	metaSPAdes v3.9.0
S0216	GEOTRACES	GA02	JC057	3	2011-03-08T03:21:00	151	ocean_biome	ocean	water	Atlantic Ocean	46.907 S 47.179 W	637997	PRJNA385854	SRP110813	SAMN07136685	SRR5788106	20401030	SRZ187408	metaSPAdes v3.9.0
S0217	GEOTRACES	GA02	JC057	4	2011-03-09T03:22:00	10	ocean_biome	ocean	water	Atlantic Ocean	44.7117 S 45.5265 W	638156	PRJNA385854	SRP110813	SAMN07136686	SRR5788105	24739783	SRZ187409	metaSPAdes v3.9.0
S0218	GEOTRACES	GA02	JC057	4	2011-03-09T03:22:00	51	ocean_biome	ocean	water	Atlantic Ocean	44.7117 S 45.5265 W	638150	PRJNA385854	SRP110813	SAMN07136687	SRR5788100	24077900	SRZ187410	metaSPAdes v3.9.0
S0219	GEOTRACES	GA02	JC057	4	2011-03-09T03:22:00	149	ocean_biome	ocean	water	Atlantic Ocean	44.7117 S 45.5265 W	638141	PRJNA385854	SRP110813	SAMN07136688	SRR5788099	22869731	SRZ187411	metaSPAdes v3.9.0
S0220	GEOTRACES	GA02	JC057	5	2011-03-10T02:43:00	10	ocean_biome	ocean	water	Atlantic Ocean	42.364 S 44.0318 W	638300	PRJNA385854	SRP110813	SAMN07136689	SRR5788060	25044040	SRZ187412	metaSPAdes v3.9.0
S0221	GEOTRACES	GA02	JC057	5	2011-03-10T02:43:00	50	ocean_biome	ocean	water	Atlantic Ocean	42.364 S 44.0318 W	638294	PRJNA385854	SRP110813	SAMN07136690	SRR5788059	20689131	SRZ187413	metaSPAdes v3.9.0
