PARAMETER	Sample ID	Sample ID	Sample ID	Station label	Event label	Environmental feature	Depth, nominal	Depth, top/min	Depth, bottom/max	Size fraction, lower threshold	Size fraction, upper threshold	Sample material	Sample method	Sample code/label	Analysis ID	Analysis method	Analysis method	Analysis method	Analysis label	Analysis ID	Analysis ID	Analysis label	Uniform resource locator/link to metadata file	Uniform resource locator/link to metadata file
1068	TARA_R100000935	SAMEA2621502	ERS491016	TARA_084	TARA_20110103T1105Z_084_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_084_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110103T1105Z_084_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000935	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEAOSW_r1	ERX556314	ERR599352	run_APX_AEAOSW_4_C2MHYACXX.IND15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599352/ERR599352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599352/ERR599352_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599352
1069	TARA_R100001369	SAMEA2621528	ERS491063	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_085_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110106T1038Z_085_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001369	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEBOSW_r1	ERX556318	ERR599364	run_APX_AEBOSW_4_C2MNYACXX.IND16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599364/ERR599364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599364/ERR599364_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599364
1070	TARA_R100001244	SAMEA2621564	ERS491123	TARA_085	TARA_20110107T1041Z_085_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	790	782	800	<0.22	0.22	TARA_085_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110107T1041Z_085_Combined-EVENTS_CAST_MES_(790m)_SEQ-(FeCl3)_W<0.22_R100001244	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AECOSW_r1	ERX556301	ERR599373	run_APX_AECOSW_6_C2MP1ACXX.IND17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599373/ERR599373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599373/ERR599373_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599373
1071	TARA_R100001440	SAMEA2622112	ERS491851	TARA_100	TARA_20110415T1245Z_100_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_100_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110415T1245Z_100_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001440	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEDOSW_r1	ERX556307	ERR599342	run_APX_AEDOSW_6_C2MP1ACXX.IND18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599342/ERR599342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599342/ERR599342_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599342
1072	TARA_R100001530	SAMEA2622166	ERS491930	TARA_100	TARA_20110416T1306Z_100_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	177	174	180	<0.22	0.22	TARA_100_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110416T1306Z_100_Combined-EVENTS_CAST_DCM_(177m)_SEQ-(FeCl3)_W<0.22_R100001530	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEEOSW_r1	ERX556319	ERR599375	run_APX_AEEOSW_7_C2MP1ACXX.IND19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599375/ERR599375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599375/ERR599375_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599375
1073	TARA_R100001443	SAMEA2622142	ERS491897	TARA_100	TARA_20110415T1938Z_100_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	<0.22	0.22	TARA_100_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110415T1938Z_100_EVENT_PUMP_DCM_(50m)_SEQ-(FeCl3)_W<0.22_R100001443	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEFOSW_r1	ERX556335	ERR599359	run_APX_AEFOSW_7_C2MP1ACXX.IND20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599359/ERR599359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599359/ERR599359_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599359
1074	TARA_R100001460	SAMEA2622190	ERS491955	TARA_102	TARA_20110421T2007Z_102_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_102_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110421T2007Z_102_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001460	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEGOSW_r1	ERX556312	ERR599353	run_APX_AEGOSW_7_C2MP1ACXX.IND21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599353/ERR599353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599353/ERR599353_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599353
1075	TARA_R100001480	SAMEA2622212	ERS491995	TARA_102	TARA_20110422T1210Z_102_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	480	478	482	<0.22	0.22	TARA_102_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MES_(480m)_SEQ-(FeCl3)_W<0.22_R100001480	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEHOSW_r1	ERX556310	ERR599346	run_APX_AEHOSW_7_C2MP1ACXX.IND22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599346/ERR599346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599346/ERR599346_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599346
1076	TARA_R100001463	SAMEA2622242	ERS492035	TARA_102	TARA_20110422T2113Z_102_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	<0.22	0.22	TARA_102_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T2113Z_102_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100001463	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEIOSW_r1	ERX556313	ERR599349	run_APX_AEIOSW_8_C2MP1ACXX.IND23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599349/ERR599349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599349/ERR599349_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599349
1077	TARA_R100000654	SAMEA2622473	ERS492342	TARA_111	TARA_20110531T1425Z_111_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_111_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T1425Z_111_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000654	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEKOSW_r1	ERX556302	ERR599357	run_APX_AEKOSW_8_C2MP1ACXX.IND24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599357/ERR599357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599357/ERR599357_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599357
1078	TARA_R100000656	SAMEA2622517	ERS492399	TARA_111	TARA_20110601T1603Z_111_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	350	346	355	<0.22	0.22	TARA_111_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110601T1603Z_111_Combined-EVENTS_CAST_MES_(350m)_SEQ-(FeCl3)_W<0.22_R100000656	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AELOSW_r1	ERX556331	ERR599368	run_APX_AELOSW_8_C2MP1ACXX.IND25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599368/ERR599368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599368/ERR599368_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599368
1079	TARA_R100000655	SAMEA2622497	ERS492376	TARA_111	TARA_20110531T2030Z_111_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	90	86	95	<0.22	0.22	TARA_111_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_DCM_(90m)_SEQ-(FeCl3)_W<0.22_R100000655	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEMOSW_r1	ERX556305	ERR599369	run_APX_AEMOSW_8_C2MP1ACXX.IND26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599369/ERR599369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599369/ERR599369_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599369
1080	TARA_R100000734	SAMEA2623290	ERS493651	TARA_137	TARA_20111202T1412Z_137_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_137_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T1412Z_137_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000734	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AENOSW_r1	ERX556321	ERR599363	run_APX_AENOSW_4_C2LW3ACXX.IND27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599363/ERR599363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599363/ERR599363_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599363
1081	TARA_R100000750	SAMEA2623327	ERS493718	TARA_137	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	375	370	379	<0.22	0.22	TARA_137_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MES_(375m)_SEQ-(FeCl3)_W<0.22_R100000750	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEPOSW_r1	ERX556346	ERR599366	run_APX_AEPOSW_4_C2LW3ACXX.IND28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599366/ERR599366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599366/ERR599366_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599366
1082	TARA_R100000742	SAMEA2623309	ERS493684	TARA_137	TARA_20111202T2042Z_137_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	<0.22	0.22	TARA_137_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T2042Z_137_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100000742	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEQOSW_r1	ERX556333	ERR599340	run_APX_AEQOSW_4_C2LW3ACXX.IND29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599340/ERR599340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599340/ERR599340_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599340
1083	TARA_R100000773	SAMEA2623365	ERS493767	TARA_138	TARA_20111210T1408Z_138_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_138_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111210T1408Z_138_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000773	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AEROSW_r1	ERX556324	ERR599355	run_APX_AEROSW_4_C2LW3ACXX.IND30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599355/ERR599355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599355/ERR599355_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599355
1084	TARA_R100000789	SAMEA2623403	ERS493835	TARA_138	TARA_20111211T2040Z_138_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	450	440	458	<0.22	0.22	TARA_138_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MES_(450m)_SEQ-(FeCl3)_W<0.22_R100000789	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AESOSW_r1	ERX556308	ERR599365	run_APX_AESOSW_4_C2MNYACXX.IND31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599365/ERR599365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599365/ERR599365_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599365
1085	TARA_R100000781	SAMEA2623385	ERS493803	TARA_138	TARA_20111211T1332Z_138_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	55	64	<0.22	0.22	TARA_138_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111211T1332Z_138_Combined-EVENTS_CAST_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000781	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AETOSW_r1	ERX556338	ERR599345	run_APX_AETOSW_4_C2MNYACXX.IND32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599345/ERR599345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599345/ERR599345_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599345
1086	TARA_E500000082	SAMEA2591107	ERS478007	TARA_023	TARA_20091118T1240Z_023_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	55	53	57	<0.22	0.22	TARA_023_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091118T1240Z_023_EVENT_PUMP_DCM_(55m)_SEQ-(FeCl3)_W<0.22_E500000082	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_msAKI_r1	ERX552331	ERR594408	run_APX_AADOSW_4_C0C2AACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594408/ERR594408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594408/ERR594408_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594408
1087	TARA_R100000008	SAMEA2619923	ERS488701	TARA_034	TARA_20100120T1150Z_034_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_034_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100120T1150Z_034_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000008	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_msAKI_r1	ERX552314	ERR594390	run_APX_AAGOSW_4_C0C2AACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594390/ERR594390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594390/ERR594390_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594390
1088	TARA_R100001082	SAMEA2621173	ERS490494	TARA_072	TARA_20101005T1535Z_072_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	100	98	102	<0.22	0.22	TARA_072_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101005T1535Z_072_EVENT_PUMP_DCM_(100m)_SEQ-(FeCl3)_W<0.22_R100001082	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_msAKI_r1	ERX552338	ERR594379	run_APX_AANOSW_4_C0C2AACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594379/ERR594379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594379/ERR594379_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594379
1089	TARA_R100000544	SAMEA2621448	ERS490953	TARA_082	TARA_20101206T1858Z_082_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	<0.22	0.22	TARA_082_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101206T1858Z_082_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100000544	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_msAKI_r1	ERX552355	ERR594409	run_APX_AAPOSW_4_C0C2AACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594409/ERR594409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594409/ERR594409_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594409
929	TARA_Y100000389	SAMEA2620979	ERS490192	TARA_067	TARA_20100907T0619Z_067_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_067_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100907T0619Z_067_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000389	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABRIOSF_r1	ERX552270	ERR594313	run_ANB_ABRIOSF_3_C06Y9ACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594313/ERR594313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594313/ERR594313_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594313
933	TARA_Y100000741	SAMEA2621020	ERS490272	TARA_068	TARA_20100914T0655Z_068_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_068_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100914T0655Z_068_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000741	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABXIOSF_r1	ERX552302	ERR594318	run_ANB_ABXIOSF_6_C06Y9ACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594318/ERR594318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594318/ERR594318_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594318
934	TARA_Y100000748	SAMEA2621044	ERS490303	TARA_068	TARA_20100914T1330Z_068_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	0.22	0.45	TARA_068_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100914T1330Z_068_EVENT_PUMP_DCM_(50m)_SEQ-(dry)_W0.22-0.45_Y100000748	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACAIOSF_r1	ERX552244	ERR594294	run_ANB_ACAIOSF_7_C06Y9ACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594294/ERR594294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594294/ERR594294_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594294
937	TARA_Y100000768	SAMEA2621075	ERS490336	TARA_070	TARA_20100921T0655Z_070_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_070_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100921T0655Z_070_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000768	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACDIOSF_r1	ERX552255	ERR594349	run_ANB_ACDIOSF_5_D0EFNACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594349/ERR594349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594349/ERR594349_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594349
938	TARA_Y100000782	SAMEA2621099	ERS490380	TARA_070	TARA_20100922T0637Z_070_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	785	812	0.22	0.45	TARA_070_MES_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MES_(800m)_SEQ-(dry)_W0.22-0.45_Y100000782	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACEIOSF_r1	ERX552290	ERR594299	run_ANB_ACEIOSF_1_C077RACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594299/ERR594299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594299/ERR594299_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594299
939	TARA_Y100000782	SAMEA2621099	ERS490380	TARA_070	TARA_20100922T0637Z_070_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	785	812	0.22	0.45	TARA_070_MES_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MES_(800m)_SEQ-(dry)_W0.22-0.45_Y100000782	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACEIOSF_r1	ERX552246	ERR594308	run_ANB_ACEIOSF_6_C0BULACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594308/ERR594308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594308/ERR594308_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594308
943	TARA_Y100000817	SAMEA2621221	ERS490602	TARA_076	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	0.22	0.45	TARA_076_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(dry)_W0.22-0.45_Y100000817	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACIIOSF_r1	ERX552295	ERR594321	run_ANB_ACIIOSF_2_C08PCACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594321/ERR594321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594321/ERR594321_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594321
944	TARA_Y100000816	SAMEA2621203	ERS490547	TARA_076	TARA_20101016T0955Z_076_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_076_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000816	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACKIOSF_r1	ERX552296	ERR594310	run_ANB_ACKIOSF_3_C08PCACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594310/ERR594310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594310/ERR594310_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594310
948	TARA_Y100000992	SAMEA2621259	ERS490664	TARA_078	TARA_20101104T1015Z_078_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_078_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000992	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACPIOSF_r1	ERX552274	ERR594340	run_ANB_ACPIOSF_7_C08PCACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594340/ERR594340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594340/ERR594340_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594340
949	TARA_Y100000996	SAMEA2621277	ERS490696	TARA_078	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	120	118	122	0.22	0.45	TARA_078_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_DCM_(120m)_SEQ-(dry)_W0.22-0.45_Y100000996	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACQIOSF_r1	ERX552252	ERR594336	run_ANB_ACQIOSF_8_C08PCACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594336/ERR594336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594336/ERR594336_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594336
950	TARA_Y100001980	SAMEA2622657	ERS492647	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_122_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100001980	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACRIOSF_r1	ERX552264	ERR594307	run_ANB_ACRIOSF_5_D1122ACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594307/ERR594307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594307/ERR594307_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594307
